#;Hasomed RehaGait raw measurement data file;
#;Contains sensor calibrated raw values;
#;File version;3;
#;App version;1.3.16;
#;App type;36;
#;Patient ID;-1;
#;Patient name;COKI10367;EJ;
#;Patient date of birth;1942-12-25 00-00-00;
#;Patient age at measurement date;78,500000;years;
#;Patient body height;174;cm;
#;Measurement date;2021-06-01 14-59-35;
#;Sensor serial;1824;Sensor position;0; Sample rate;100;
#;Sensor serial;1825;Sensor position;1; Sample rate;100;
#;Sensor serial;1826;Sensor position;6; Sample rate;100;
#;Accelerometer data unit;Metre per second squared;
#;Gyroscope data unit;Degree per second;
#;Magnetic field data unit;Gauss;
#;Examiner;EJ;
#;Patient-ID;COKI10367;
#;Patient trial time;1;T1;
#;Assessment type;17;StraightWalkNormalPace;
#;Tool type;0;None;
# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
14;0;-0.5683;2.2365;9.2638;-0.2029;0.0992;0.1277;-0.2322;0.2954;-0.6895;1;1.2174;2.5519;9.5051;-0.6267;0.8889;-0.1553;0.5404;-0.4143;-0.7265;6;9.7996;1.2221;0.9873;-0.3302;0.9094;0.2630;-1.1480;-0.0853;-0.1495;1;0;
15;0;-0.6248;2.6422;9.4912;-0.1391;0.1605;0.2205;-0.2709;0.3341;-0.7072;1;0.8765;2.8409;9.6755;-0.4716;0.8916;-0.0333;0.5223;-0.4143;-0.7565;6;9.4094;1.3935;1.3808;-0.1762;0.9707;0.2281;-1.2279;-0.1062;-0.1518;1;0;
16;0;-0.6220;2.1155;9.6146;-0.3244;0.2202;0.1319;-0.2539;0.3327;-0.7229;1;1.4969;2.7800;9.1602;-0.4091;0.8298;-0.0947;0.5103;-0.4203;-0.7385;6;9.5731;0.7674;0.9828;0.1266;1.1874;-0.0250;-1.1964;-0.1247;-0.1517;1;0;
17;0;-0.3812;2.0568;9.6196;-0.2022;0.1604;0.0983;-0.2871;0.3166;-0.6920;1;1.4454;2.6088;9.4512;-0.5022;0.8916;-0.0024;0.5223;-0.4263;-0.7385;6;9.6347;1.1088;1.2702;0.2807;1.2792;-0.0596;-1.1809;-0.1250;-0.1869;1;0;
18;0;-0.7460;2.4680;9.4329;-0.2008;0.2829;0.0394;-0.3250;0.3365;-0.7103;1;1.1597;2.7821;9.5050;-0.4775;1.2334;0.1491;0.5223;-0.4023;-0.7325;6;9.8097;0.5970;1.5019;0.2919;1.2435;0.3085;-1.1962;-0.1243;-0.1339;1;0;
19;0;-0.7431;2.6409;9.6059;-0.2349;0.1301;-0.0250;-0.3074;0.2967;-0.7440;1;1.0482;2.9556;9.6793;-0.5956;0.9531;0.0593;0.5283;-0.4143;-0.7385;6;9.4596;0.7676;0.9807;0.3670;1.2678;0.7366;-1.2116;-0.0866;-0.1508;1;0;
20;0;-0.3856;2.1765;9.3845;-0.2319;0.2519;0.0699;-0.3043;0.2985;-0.6937;1;1.3866;2.2058;9.3311;-0.7202;0.9818;-0.0323;0.5043;-0.4263;-0.7325;6;9.9150;1.3927;1.1040;0.1533;1.3273;0.8357;-1.1963;-0.0874;-0.2038;1;0;
21;0;-0.8092;2.3536;9.2581;-0.1696;0.2831;0.0698;-0.2502;0.2962;-0.6906;1;1.2117;2.6657;9.2127;-0.5344;0.9213;-0.0945;0.5283;-0.4023;-0.7325;6;9.6871;1.2792;1.0425;0.0018;1.1733;0.9619;-1.2433;-0.0685;-0.1686;1;0;
22;0;-0.8003;2.0559;9.7290;-0.2626;0.2823;0.0402;-0.3064;0.2973;-0.7272;1;1.1559;2.4360;9.2692;-0.6891;1.0142;0.0902;0.5163;-0.4083;-0.7265;6;9.5226;0.7678;1.3251;0.0924;1.0525;0.8968;-1.2280;-0.1250;-0.1346;1;0;
23;0;-0.8605;2.0560;9.7279;-0.3541;0.3116;0.1035;-0.2677;0.2586;-0.7095;1;1.5589;2.6084;9.3948;-0.5640;0.9543;0.1513;0.5103;-0.4143;-0.7265;6;9.6914;1.1087;1.2713;-0.5512;1.0187;1.1308;-1.1646;-0.1055;-0.1860;1;0;
24;0;-0.6904;1.9464;9.1486;-0.1127;0.0704;-0.0586;-0.2539;0.3327;-0.7229;1;1.2205;2.0348;9.6199;-0.5947;0.9224;0.0902;0.5163;-0.4023;-0.7325;6;9.7473;0.9949;1.2150;-0.5596;0.7483;0.8831;-1.2279;-0.0877;-0.1867;1;0;
25;0;-0.4439;2.4085;9.4973;-0.2944;0.3439;-0.1426;-0.3226;0.2798;-0.7121;1;1.4933;2.3188;8.9238;-0.6896;0.9501;-0.1553;0.4983;-0.4143;-0.7325;6;9.4624;1.0521;1.1526;-0.5356;0.6297;0.6663;-1.1964;-0.1247;-0.1517;1;0;
26;0;-0.6194;2.5218;9.7847;-0.5103;0.3416;-0.1092;-0.3218;0.2610;-0.7126;1;1.0421;2.6090;9.3263;-0.7200;0.9503;-0.0936;0.5163;-0.4083;-0.7265;6;9.5787;1.3364;1.3266;-0.7512;0.3548;0.7321;-1.2127;-0.1442;-0.1527;1;0;
27;0;-0.1387;2.3469;9.7370;-0.2365;0.0385;-0.0270;-0.2887;0.3544;-0.6909;1;1.0921;3.0099;8.9777;-0.6848;0.7657;-0.0313;0.5043;-0.4143;-0.7325;6;9.8587;0.9947;1.1026;-0.9942;0.3525;0.8929;-1.1957;-0.0863;-0.1505;1;0;
28;0;-0.5099;2.0045;9.1510;-0.1076;0.2221;0.1907;-0.2502;0.2962;-0.6906;1;1.2729;2.9542;9.4494;-0.6874;0.9212;0.0600;0.5103;-0.4143;-0.7325;6;9.6284;1.1654;0.9269;-1.1771;0.3511;0.9906;-1.2115;-0.0678;-0.1680;1;0;
29;0;-0.6275;2.2943;9.3204;0.0138;0.1319;0.1257;-0.2691;0.3158;-0.6910;1;1.4947;2.7794;9.0430;-0.7196;0.8873;-0.2162;0.5163;-0.4143;-0.7205;6;9.6351;0.7676;1.2700;-0.6893;0.6596;0.7019;-1.2115;-0.0863;-0.1330;1;0;
30;0;-0.6895;2.0624;9.2055;-0.0811;-0.0834;0.2452;-0.2330;0.3142;-0.6889;1;0.7587;2.7828;9.4973;-0.5943;0.8594;-0.0324;0.5103;-0.4083;-0.7445;6;10.0847;0.9943;1.0496;-0.2310;0.8455;0.4746;-1.1649;-0.1431;-0.1517;1;0;
31;0;-0.5638;2.0585;9.4996;-0.0829;-0.1134;0.1216;-0.2520;0.3144;-0.7067;1;1.2104;2.7804;9.1546;-0.5672;1.0137;-0.0949;0.5223;-0.4143;-0.7385;6;9.9214;1.2223;1.4472;-0.1378;0.9368;0.4725;-1.1966;-0.1250;-0.1695;1;0;
32;0;-0.4450;2.4093;9.4389;0.0693;-0.2032;0.0562;-0.3260;0.3359;-0.7271;1;1.3911;2.7822;9.6266;-0.7564;1.1970;-0.1256;0.5103;-0.4083;-0.7205;6;10.0317;1.2789;1.2777;-0.2662;0.9694;0.3230;-1.2433;-0.0685;-0.1686;1;0;
33;0;-0.6866;2.2352;9.3785;-0.2664;-0.0237;0.1566;-0.2873;0.2971;-0.7094;1;1.2151;2.6089;9.3882;-0.9405;1.1645;-0.0936;0.5103;-0.4083;-0.7445;6;9.5708;0.9948;0.8685;-0.0778;0.9377;0.4093;-1.1968;-0.1254;-0.1873;1;0;
34;0;-0.7974;2.2288;9.9020;0.0411;-0.1431;0.2117;-0.3077;0.3546;-0.7087;1;0.9372;2.7840;9.8521;-0.9119;1.2255;-0.2170;0.5043;-0.4203;-0.7385;6;9.9692;0.9375;0.9330;-0.2281;1.1489;0.5384;-1.2440;-0.1068;-0.1699;1;0;
35;0;-0.3886;2.0620;9.2108;0.1009;-0.2032;0.1173;-0.2902;0.3148;-0.7423;1;0.8704;3.1846;9.3842;-0.8779;1.1345;-0.0631;0.5223;-0.4143;-0.7505;6;9.7477;1.5068;1.2726;-0.0792;1.0907;0.3491;-1.2116;-0.1051;-0.1159;1;0;
36;0;-0.7445;2.1171;9.4957;0.2212;-0.3544;0.0510;-0.2910;0.3337;-0.7418;1;1.1600;2.6095;9.5043;-1.0050;1.2555;-0.2167;0.5163;-0.4323;-0.7445;6;9.4006;0.9382;0.8653;0.0455;1.0599;0.3759;-1.1802;-0.1051;-0.1508;1;0;
37;0;-0.7436;2.2331;9.5526;0.3766;-0.3532;0.1414;-0.2698;0.3347;-0.6904;1;1.1628;2.8979;9.6813;-1.0359;1.2551;-0.2165;0.5103;-0.4143;-0.7325;6;10.1983;0.9373;1.0516;-0.0090;0.7212;0.6513;-1.1954;-0.0856;-0.1149;1;0;
38;0;-0.3235;2.3500;9.5002;0.1945;-0.2026;0.2084;-0.3064;0.2973;-0.7272;1;1.1070;2.6682;9.7377;-0.7859;1.1667;-0.0331;0.5043;-0.4203;-0.7265;6;10.0290;0.9945;1.1058;-0.0265;0.8063;1.0827;-1.1966;-0.1435;-0.1346;1;0;
39;0;-0.8646;1.9422;9.4958;0.0073;-0.3575;0.2689;-0.2696;0.2769;-0.7257;1;1.6107;2.6070;9.1030;-0.6040;1.2598;-0.1883;0.5043;-0.4143;-0.7385;6;9.9669;1.1080;0.8186;0.0923;0.7173;0.9248;-1.1805;-0.1243;-0.1514;1;0;
40;0;-0.1486;2.6453;9.2077;0.1336;-0.1728;0.2406;-0.3072;0.3162;-0.7266;1;1.2199;2.3799;9.6215;-0.6342;1.2286;-0.1880;0.5103;-0.4143;-0.7325;6;9.5716;1.1655;0.9259;0.1352;0.6203;1.3222;-1.1646;-0.1055;-0.1860;1;0;
41;0;-0.3816;2.4070;9.6152;-0.0864;-0.4195;0.2688;-0.2516;0.3534;-0.6720;1;1.2701;2.6658;9.2724;-0.6664;1.2583;-0.2801;0.5163;-0.4083;-0.7505;6;9.8593;1.3928;1.1602;0.1170;0.4924;1.7519;-1.1810;-0.1254;-0.2047;1;0;
42;0;-0.3210;2.8731;9.6688;-0.1143;-0.3596;0.4549;-0.2691;0.3158;-0.6910;1;1.1015;2.6669;9.4448;-0.7595;1.3519;-0.0958;0.5223;-0.4143;-0.7205;6;9.9077;0.5393;0.6455;-0.2851;0.6140;1.7649;-1.1952;-0.0853;-0.0972;1;0;
43;0;-0.2623;2.4076;9.5589;0.0063;-0.5109;0.4194;-0.2863;0.2977;-0.6926;1;1.0398;2.6660;9.2094;-0.7872;1.1967;-0.1254;0.5103;-0.4143;-0.7385;6;9.7504;0.9950;1.3867;-0.0726;0.7684;1.6062;-1.1639;-0.0856;-0.1498;1;0;
44;0;-0.3880;2.4114;9.2648;0.0702;-0.4804;0.5730;-0.2853;0.2983;-0.6759;1;1.2147;2.8390;9.3892;-0.5980;1.0452;-0.0027;0.5103;-0.4203;-0.7385;6;9.7403;0.7102;0.8142;-0.2383;0.8953;1.2434;-1.1653;-0.1439;-0.1872;1;0;
45;0;-0.1431;2.4665;9.5019;0.0710;-0.5115;0.6954;-0.2686;0.3548;-0.6563;1;1.2145;2.3211;9.3283;-0.7845;1.1049;-0.0327;0.5103;-0.4143;-0.7265;6;9.7999;0.9946;0.9871;-0.1538;0.8993;0.9644;-1.1803;-0.1055;-0.1686;1;0;
46;0;-0.6781;2.2294;9.8457;0.2207;-0.8156;0.7176;-0.3082;0.3156;-0.7434;1;1.2088;2.4348;9.0359;-0.6322;1.1677;-0.0954;0.5103;-0.4083;-0.7325;6;9.9123;0.9945;0.9320;-0.0256;0.8059;1.1134;-1.2128;-0.1445;-0.1704;1;0;
47;0;-0.8648;2.0589;9.4943;0.3749;-0.9062;0.8368;-0.3074;0.2967;-0.7440;1;1.3313;2.3214;9.4477;-0.8194;1.2582;-0.1256;0.5163;-0.4023;-0.7325;6;9.5110;0.9379;0.6957;0.2702;0.8894;1.6583;-1.2112;-0.0487;-0.1674;1;0;
48;0;-0.4355;2.4027;9.9645;0.0626;-1.1540;0.8968;-0.3046;0.2791;-0.7110;1;0.9875;2.3220;9.4411;-0.9136;1.3185;-0.1869;0.5163;-0.4023;-0.7205;6;9.5200;1.2226;1.2110;0.2156;1.1298;1.8770;-1.1961;-0.1055;-0.1511;1;0;
49;0;-0.9878;2.4691;9.3703;-0.2458;-1.2804;1.1440;-0.3062;0.3168;-0.7098;1;0.8692;2.5515;9.2642;-0.7921;1.3810;-0.2494;0.5223;-0.4083;-0.7325;6;9.6887;0.7674;1.0993;0.4330;1.3733;1.8724;-1.2429;-0.0863;-0.0981;1;0;
50;0;-0.5042;2.4670;9.4955;-0.2452;-1.1268;0.9628;-0.3234;0.2987;-0.7115;1;1.0521;2.5538;9.8533;-1.1350;1.5633;-0.2177;0.5223;-0.4143;-0.7385;6;9.1786;1.1093;1.1474;0.6487;1.6482;1.8067;-1.2418;0.0085;-0.1484;1;0;
51;0;-0.3238;2.5835;9.4972;-0.2711;-0.7908;0.9089;-0.2892;0.3154;-0.7256;1;1.2199;2.3799;9.6215;-1.2262;1.4370;-0.4008;0.5103;-0.3963;-0.7325;6;9.4014;1.1088;0.9227;0.8486;1.9914;1.2197;-1.2277;-0.0873;-0.1689;1;0;
52;0;-0.8069;2.1770;9.3771;-0.3612;-0.6390;0.9133;-0.3090;0.3345;-0.7428;1;1.0479;2.4377;9.6184;-1.3776;1.3753;-0.2152;0.5283;-0.3963;-0.7265;6;9.4085;0.4267;1.2655;1.1884;2.0528;1.1793;-1.1629;-0.0466;-0.1131;1;0;
53;0;-0.4483;2.4698;9.2630;-0.1152;-0.6053;0.7572;-0.2863;0.2977;-0.6926;1;1.1624;2.4950;9.6209;-1.1885;1.1920;-0.1845;0.5163;-0.4203;-0.7205;6;9.6888;0.7105;1.0993;0.6766;2.1677;1.6564;-1.1954;-0.0671;-0.1499;1;0;
54;0;-0.6835;2.2914;9.5530;-0.1156;-0.4514;0.4837;-0.2892;0.3154;-0.7256;1;1.1027;2.6096;9.5032;-1.1601;1.2209;-0.4307;0.5043;-0.4023;-0.7145;6;9.6837;0.5966;0.8130;-0.1726;1.7934;2.2934;-1.1805;-0.1243;-0.1514;1;0;
55;0;-0.7448;2.3506;9.4928;-0.0208;-0.3282;0.4852;-0.2706;0.3536;-0.6898;1;1.2165;2.4367;9.4460;-1.0026;1.1633;-0.1547;0.5163;-0.4143;-0.7325;6;9.8518;0.6531;0.7017;-1.3589;1.6003;3.0341;-1.1631;-0.0469;-0.1308;1;0;
56;0;-0.4473;2.5275;9.3207;-0.1134;-0.3600;0.5472;-0.2343;0.2942;-0.7231;1;1.1608;2.7823;9.5636;-0.6291;1.0128;-0.1253;0.5103;-0.4083;-0.7265;6;9.6243;1.0515;0.6979;-2.0548;1.0439;3.6343;-1.2122;-0.1062;-0.1692;1;0;
57;0;-0.4426;2.2327;9.5579;-0.7017;-0.3960;0.4615;-0.3260;0.3359;-0.7271;1;0.8146;2.9549;9.4406;-0.3807;0.9541;-0.0649;0.5223;-0.4023;-0.7325;6;10.0239;0.8805;0.8195;-2.8117;0.8063;3.2248;-1.2439;-0.1253;-0.1349;1;0;
58;0;-0.5634;2.5247;9.5521;-0.5153;-0.2716;0.3696;-0.2884;0.2965;-0.7262;1;1.2217;2.6105;9.7397;-0.1939;0.8947;-0.0042;0.5043;-0.4203;-0.7325;6;9.9062;0.8805;0.5885;-3.2738;0.6367;2.3154;-1.2127;-0.1442;-0.1527;1;0;
59;0;-0.1444;2.6423;9.4413;-0.2382;-0.2992;0.3348;-0.2889;0.3349;-0.7082;1;1.2113;2.8957;9.2137;-0.3168;0.8623;-0.0340;0.5163;-0.3963;-0.7325;6;9.6945;0.3127;1.3851;-3.6382;0.2210;1.5856;-1.2122;-0.1062;-0.1692;1;0;
60;0;-0.1432;2.5249;9.5012;-0.4018;-0.7891;0.2340;-0.2879;0.3355;-0.6914;1;0.9921;2.8984;9.7366;-0.3782;0.8619;-0.0029;0.5223;-0.4083;-0.7445;6;10.1379;0.4823;0.8213;-3.6234;-0.1676;1.0904;-1.1796;-0.0856;-0.1324;1;0;
61;0;-0.4999;2.4057;9.7299;-0.9002;-0.9462;0.0830;-0.2502;0.2962;-0.6906;1;1.0382;2.3204;9.0907;-0.4419;0.9540;-0.0031;0.5223;-0.4083;-0.7325;6;9.7435;0.7104;0.9859;-3.7840;-0.2259;0.9103;-1.2267;-0.0483;-0.1321;1;0;
62;0;-0.5078;2.0030;9.2678;-0.6543;-1.0970;0.1997;-0.3244;0.2981;-0.7282;1;0.7029;2.5531;9.5538;-0.2243;0.8632;-0.0346;0.5283;-0.4083;-0.7265;6;9.6245;0.9378;0.6978;-3.8217;-0.2533;0.6961;-1.2267;-0.0668;-0.0972;1;0;
63;0;-0.2025;2.6409;9.5570;-0.9284;-1.0399;0.4812;-0.2675;0.2781;-0.6922;1;1.2123;2.9535;9.2726;-0.4406;0.8604;-0.0947;0.5103;-0.4083;-0.7445;6;9.5207;0.6540;1.2106;-4.0080;0.1736;0.6437;-1.1951;-0.0480;-0.1493;1;0;
64;0;-0.6236;2.5248;9.5511;-0.6477;-0.6998;0.2082;-0.2876;0.2777;-0.7268;1;1.5618;2.2063;9.5102;-0.4692;0.7994;0.0287;0.5163;-0.4143;-0.7445;6;9.4016;0.9951;0.9226;-3.8317;0.4524;0.3026;-1.2108;-0.0480;-0.1318;1;0;
65;0;-0.6712;2.6328;10.2494;-0.6634;0.2471;0.1675;-0.2502;0.2962;-0.6906;1;1.5589;2.6084;9.3948;-0.5025;0.8277;-0.2171;0.5163;-0.4143;-0.7385;6;9.6882;1.1655;1.0996;-3.5508;0.8781;0.3284;-1.2277;-0.0873;-0.1689;1;0;
66;0;-0.4985;2.1715;9.7912;-0.2936;0.5896;-0.4448;-0.2892;0.3154;-0.7256;1;0.9888;2.8977;9.5608;-0.8664;0.6093;-0.0293;0.5043;-0.4083;-0.7445;6;9.9121;1.1651;0.9321;-3.1177;1.0918;0.2864;-1.1958;-0.0678;-0.1854;1;0;
67;0;-0.5639;2.1169;9.4989;-0.8830;0.4924;-0.5318;-0.3062;0.3168;-0.7098;1;1.1007;2.4941;9.3855;-0.8928;0.4241;0.0334;0.5103;-0.4023;-0.7445;6;9.7975;1.2220;0.8728;-3.0414;1.1765;0.7457;-1.1952;-0.0483;-0.1670;1;0;
68;0;-0.7463;2.7015;9.4300;-1.2230;0.3968;-0.4066;-0.3062;0.3168;-0.7098;1;1.2137;2.7812;9.3304;-0.8927;0.3608;-0.1198;0.5283;-0.4203;-0.7265;6;9.8536;0.8807;0.8164;-3.5518;1.1689;1.2833;-1.1798;-0.0860;-0.1502;1;0;
69;0;-0.6220;2.1155;9.6146;-0.6962;0.5245;-0.4412;-0.2691;0.3158;-0.6910;1;0.9298;2.5522;9.4410;-2.1875;0.3158;-0.2041;0.5223;-0.4203;-0.7565;6;9.8499;0.5393;0.5872;-3.9387;1.0236;0.8020;-1.2116;-0.0866;-0.1508;1;0;
70;0;-0.2704;2.1216;9.0954;-0.1373;0.6827;-0.4140;-0.2711;0.3146;-0.7245;1;1.2226;2.7258;9.7988;-1.6062;0.5067;-0.2702;0.5163;-0.4083;-0.7385;6;10.1407;0.7668;0.9932;-4.2377;0.8196;0.1641;-1.1805;-0.1058;-0.1863;1;0;
71;0;-0.4479;2.1780;9.2667;-0.2925;0.5584;-0.2918;-0.2889;0.3349;-0.7082;1;1.1591;2.4943;9.4452;-2.0619;0.3200;0.1024;0.5163;-0.4083;-0.7205;6;9.7478;0.5399;1.2147;-4.5426;0.5126;0.3551;-1.2272;-0.0863;-0.1156;1;0;
72;0;-0.3233;2.1749;9.5024;-0.0789;0.3463;-0.2068;-0.2701;0.3152;-0.7078;1;1.2875;2.7850;10.2102;-1.2334;0.3871;-0.2409;0.5103;-0.4083;-0.7385;6;9.8565;1.1083;0.9883;-4.7651;0.1495;0.2052;-1.1956;-0.0675;-0.1677;1;0;
73;0;-0.2624;2.4659;9.5582;-0.1083;0.3147;-0.0226;-0.2186;0.3500;-0.7203;1;1.5700;2.5534;9.9803;-1.2003;0.2949;-0.2098;0.5163;-0.4083;-0.7325;6;10.1386;1.5629;0.9366;-4.8130;0.1269;-0.3466;-1.1956;-0.0675;-0.1677;1;0;
74;0;-0.9213;2.4646;9.7217;-0.2078;-0.0526;-0.0908;-0.2918;0.3526;-0.7412;1;0.9273;2.7242;9.3246;-1.0162;0.3274;-0.2418;0.5283;-0.4143;-0.7445;6;9.4129;1.1093;1.5522;-4.4285;0.1050;-0.9421;-1.1966;-0.1250;-0.1695;1;0;
75;0;-0.3831;1.9416;9.5043;-0.3899;0.0980;-0.0237;-0.3043;0.2985;-0.6937;1;1.1082;2.6109;9.7961;-0.5557;0.4885;-0.0611;0.5043;-0.4083;-0.7385;6;10.0838;0.8237;0.9922;-4.0390;0.7817;-1.4400;-1.1802;-0.0867;-0.1857;1;0;
76;0;-0.4475;2.7026;9.3185;-0.5143;0.0663;-0.0536;-0.2335;0.2753;-0.7237;1;1.3314;2.8968;9.5088;-0.2166;0.4919;-0.0631;0.5103;-0.4143;-0.7265;6;9.5258;0.7110;1.4968;-3.6450;1.0760;-0.7427;-1.1966;-0.1250;-0.1695;1;0;
77;0;-0.4953;2.1693;9.9664;-0.4834;0.0052;0.0369;-0.2510;0.3150;-0.6900;1;1.1572;2.9541;9.3886;-0.2148;0.4307;-0.0013;0.5103;-0.4083;-0.7325;6;9.6266;0.8810;0.8122;-3.3791;1.4943;-0.1942;-1.1798;-0.0860;-0.1502;1;0;
78;0;-0.6227;1.8828;9.5592;-0.3862;0.2195;0.1326;-0.2683;0.2969;-0.6916;1;1.4494;2.8399;9.6865;-0.5269;0.5815;-0.0618;0.5163;-0.4083;-0.7385;6;9.5726;1.1655;0.9831;-3.4003;1.9164;0.0863;-1.2281;-0.0880;-0.2045;1;0;
79;0;-0.5645;2.5254;9.4937;-0.1373;0.4059;0.0105;-0.3051;0.3174;-0.6931;1;0.7566;2.7247;9.3799;-0.7458;0.6388;-0.3067;0.5163;-0.4083;-0.7325;6;9.8600;0.7672;1.1597;-3.3690;2.0382;0.0864;-1.1949;-0.0291;-0.1664;1;0;
